player,player_id,pass_angle,pass_length,under_pressure,pass_cross,pass_cut_back,pass_inswinging,pass_outswinging,pass_through_ball,pass_switch,pass_normal,location_x,location_y,pass_end_location_x,pass_end_location_y,play_pattern_from_corner,play_pattern_from_counter,play_pattern_from_free_kick,play_pattern_from_goal_kick,play_pattern_from_keeper,play_pattern_from_kick_off,play_pattern_from_throw_in,play_pattern_regular_play,pass_body_part_left_foot,pass_body_part_right_foot,pass_height_ground_pass,pass_height_high_pass,pass_height_low_pass,pass_completed
Eden Hazard,3621,2.9945142,8.188406,0,0,0,0,0,0,0,1,108.6,14.7,100.5,15.9,0,0,0,1,0,0,0,0,0,1,1,0,0,1
Willian Borges da Silva,3472,-1.013672,14.373587,1,0,0,0,0,0,0,1,96.4,19.0,104.0,6.8,0,0,0,1,0,0,0,0,0,1,1,0,0,1
Abdul Rahman Baba,12325,1.3411539,15.815183,0,0,0,0,0,0,0,1,110.4,5.4,114.0,20.8,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Willian Borges da Silva,3472,1.6728033,38.299088,0,0,0,1,0,0,0,0,120.0,0.1,116.1,38.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Abdul Rahman Baba,12325,0.73118776,9.1350975,0,0,0,0,0,0,0,1,51.5,3.8,58.3,9.9,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Willian Borges da Silva,3472,3.0771658,12.425779,0,0,0,0,0,0,0,1,58.3,9.9,45.9,10.7,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Nemanja Matić,3381,-1.4083072,6.1814237,0,0,0,0,0,0,0,1,51.5,9.3,52.5,3.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Willian Borges da Silva,3472,3.0203626,19.845654,0,0,0,0,0,0,0,1,52.5,3.2,32.8,5.6,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Gary Cahill,3645,1.5339278,24.416594,0,0,0,0,0,0,0,1,33.0,6.9,33.9,31.3,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Kurt Happy Zouma,3456,-3.0456538,24.010414,0,0,0,0,0,0,0,1,31.3,36.4,7.4,34.1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Thibaut Courtois,3509,-0.0060882047,65.70122,0,0,0,0,0,0,0,1,10.2,33.7,75.9,33.3,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Diego da Silva Costa,5198,-1.1043159,15.786703,0,0,0,0,0,0,0,1,100.8,15.0,107.9,0.9,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Eden Hazard,3621,2.8055282,15.465122,0,0,0,0,0,0,0,1,111.6,2.3,97.0,7.4,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Abdul Rahman Baba,12325,2.629203,9.17878,0,0,0,0,0,0,0,1,96.8,8.7,88.8,13.2,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Francesc Fàbregas i Soler,3478,-0.7625711,15.489674,0,0,0,0,0,0,0,1,89.3,13.2,100.5,2.5,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Eden Hazard,3621,0.9126686,15.041609,0,0,0,0,0,0,0,1,100.5,2.5,109.7,14.4,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Abdul Rahman Baba,12325,1.9952483,22.825424,0,1,0,0,0,0,0,0,117.7,15.8,108.3,36.6,1,0,0,0,0,0,0,0,1,0,0,1,0,1
Branislav Ivanović,5594,-1.2593813,24.477337,0,0,0,0,0,0,0,1,43.3,80.0,50.8,56.7,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Pedro Eliezer Rodríguez Ledesma,3958,-2.4877062,13.480727,0,0,0,0,0,0,0,1,51.9,51.8,41.2,43.6,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Nemanja Matić,3381,-1.3366398,33.617405,0,0,0,0,0,0,0,1,41.2,40.7,49.0,8.0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Abdul Rahman Baba,12325,-0.45592576,11.583178,0,0,0,0,0,0,0,1,51.4,6.6,61.8,1.5,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Eden Hazard,3621,1.5403348,36.116756,0,0,0,0,0,0,0,1,93.9,21.0,95.0,57.1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Nemanja Matić,3381,2.711128,10.783784,0,0,0,0,0,0,0,1,55.2,0.1,45.4,4.6,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Abdul Rahman Baba,12325,1.6596705,10.140019,0,0,0,0,0,0,0,1,43.9,3.7,43.0,13.8,0,0,0,0,0,0,1,0,1,0,1,0,0,1
